🤒	face with thermometer	thermometer,sick,fever,ill,temperature,unwell,flu,cold,medicine,hospital
🤕	face with head-bandage	bandage,injured,hurt,accident,hospital,wound,pain,clumsy,ouch,medical
🤢	nauseated face	nauseated,sick,queasy,nauseous,disgusted,gross,yuck,ill,vomit,green
🤮	face vomiting	vomiting,sick,puke,throw,up,nauseous,ill,gross,disgusted,unwell
🤧	sneezing face	sneezing,achoo,cold,allergies,sick,flu,tissue,bless,you,gesundheit
🥵	hot face	hot,heat,sweating,summer,warm,burning,fever,fire,temperature,scorching
🥶	cold face	cold,freezing,winter,chilly,frozen,ice,shivering,blue,arctic,frigid
🥴	woozy face	woozy,dizzy,drunk,tipsy,confused,disoriented,spinning,intoxicated,lightheaded,unsteady
😵	face with crossed-out eyes	crossed,out,eyes,dead,knocked,unconscious,dizzy,stunned,defeated,exhausted
😵‍💫	face with spiral eyes	spiral,eyes,dizzy,hypnotized,confused,disoriented,spinning,mesmerized,dazed,swirling
🤯	exploding head	exploding,head,mind,blown,shocked,amazed,surprised,wow,incredible,unbelievable
🤠	cowboy hat face	cowboy,hat,western,country,ranch,rodeo,texas,yeehaw,frontier,wild
🥳	partying face	partying,party,celebration,fun,festive,birthday,dancing,happy,excited,confetti
🥸	disguised face	disguised,disguise,hidden,incognito,secret,spy,undercover,mask,mysterious,sneaky
😎	smiling face with sunglasses	sunglasses,cool,awesome,confident,stylish,shades,smooth,relaxed,chill,swag
🤓	nerd face	nerd,geek,smart,intelligent,glasses,studious,academic,brainy,bookworm,clever
🧐	face with monocle	monocle,fancy,sophisticated,classy,distinguished,gentleman,posh,elegant,curious,examining
😕	confused face	confused,puzzled,uncertain,perplexed,bewildered,lost,questioning,unsure,baffled,huh
🫤	face with diagonal mouth	diagonal,mouth,unsure,uncertain,meh,confused,mixed,feelings,ambivalent,hesitant
😟	worried face	worried,anxious,concerned,nervous,troubled,fearful,apprehensive,distressed,uneasy,stress
🙁	slightly frowning face	slightly,frowning,disappointed,sad,unhappy,down,upset,dissatisfied,displeased,dejected
☹️	frowning face	frowning,sad,unhappy,disappointed,upset,down,dejected,gloomy,sorrowful,melancholy
😮	face with open mouth	open,mouth,surprised,shocked,amazed,wow,astonished,gasping,stunned,incredulous
😯	hushed face	hushed,quiet,whisper,secret,shh,silent,subdued,soft,gentle,peaceful
😲	astonished face	astonished,amazed,shocked,surprised,stunned,flabbergasted,blown,away,incredible,wow
😳	flushed face	flushed,embarrassed,blushing,shy,awkward,nervous,red,face,bashful,ashamed
🥺	pleading face	pleading,begging,puppy,eyes,please,desperate,imploring,asking,mercy,cute
🥹	face holding back tears	holding,back,tears,emotional,trying,not,cry,touched,moved,sad
😦	frowning face with open mouth	frowning,open,mouth,disappointed,upset,shocked,dismayed,disbelief,troubled,distressed
😧	anguished face	anguished,distressed,tormented,suffering,agony,pain,anguish,troubled,devastated,grief
😨	fearful face	fearful,scared,afraid,frightened,terrified,anxious,worried,nervous,panicked,alarmed
😰	anxious face with sweat	anxious,sweat,nervous,worried,stressed,panicked,overwhelmed,pressure,tense,uneasy
😥	sad but relieved face	sad,relieved,mixed,emotions,bittersweet,conflicted,exhausted,phew,grateful,complicated
😢	crying face	crying,tears,sad,upset,hurt,emotional,weeping,sobbing,sorrowful,grief
😭	loudly crying face	loudly,crying,sobbing,wailing,devastated,heartbroken,inconsolable,bawling,tears,grief
😱	face screaming in fear	screaming,fear,terrified,horror,panic,scared,frightened,nightmare,shocking,alarmed
😖	confounded face	confounded,frustrated,annoyed,confused,perplexed,bothered,irritated,vexed,troubled,exasperated
😣	persevering face	persevering,determined,struggling,enduring,persisting,tough,difficult,challenging,pushing,through
😞	disappointed face	disappointed,let,down,sad,upset,dejected,disheartened,discouraged,unsatisfied,dismayed
😓	downcast face with sweat	downcast,sweat,disappointed,dejected,ashamed,embarrassed,sorry,regretful,guilty,remorseful
😩	weary face	weary,tired,exhausted,fed,up,frustrated,drained,worn,out,stressed,overwhelmed
😫	tired face	tired,exhausted,weary,drained,sleepy,fatigued,worn,out,spent,beat
🥱	yawning face	yawning,sleepy,tired,bored,exhausted,drowsy,yawn,mouth,open,fatigue
😤	face with steam from nose	steam,nose,angry,frustrated,mad,annoyed,huffing,puffing,irritated,fuming
😡	enraged face	enraged,furious,angry,mad,livid,irate,outraged,incensed,seething,raging
😠	angry face	angry,mad,upset,annoyed,frustrated,irritated,grumpy,cross,displeased,pissed
🤬	face with symbols on mouth	symbols,mouth,swearing,cursing,profanity,angry,mad,expletives,censored,furious
😈	smiling face with horns	horns,devil,evil,mischievous,naughty,devilish,wicked,imp,demon,playful
👿	angry face with horns	angry,horns,devil,evil,demon,mad,furious,wicked,satanic,menacing
💀	skull	skull,death,dead,bones,spooky,scary,halloween,mortality,pirate,danger
☠️	skull and crossbones	skull,crossbones,death,danger,poison,toxic,pirate,warning,deadly,hazard
💩	pile of poo	poo,poop,shit,crap,excrement,waste,toilet,bathroom,funny,gross
🤡	clown face	clown,funny,circus,entertaining,colorful,makeup,performer,comedian,joke,silly
👹	ogre	ogre,monster,creature,scary,mythical,beast,folklore,giant,frightening,fantasy
👺	goblin	goblin,monster,creature,scary,mythical,evil,fantasy,folklore,imp,demon
👻	ghost	ghost,spirit,spooky,supernatural,phantom,haunted,halloween,dead,apparition,boo
👽	alien	alien,extraterrestrial,ufo,space,martian,et,outer,world,sci,fi
👾	alien monster	alien,monster,creature,space,invader,video,game,retro,arcade,pixelated
🤖	robot	robot,android,machine,artificial,intelligence,technology,ai,mechanical,futuristic,automation
😺	grinning cat	grinning,cat,happy,feline,pet,smile,cheerful,cute,kitty,pleased
😸	grinning cat with smiling eyes	grinning,cat,smiling,eyes,happy,feline,pet,cheerful,cute,joyful
😹	cat with tears of joy	cat,tears,joy,laughing,happy,feline,pet,funny,amused,delighted
😻	smiling cat with heart-eyes	smiling,cat,heart,eyes,love,feline,pet,adore,cute,affection
😼	cat with wry smile	cat,wry,smile,smirk,sly,feline,pet,mischievous,clever,cunning
😽	kissing cat	kissing,cat,love,feline,pet,affection,kiss,sweet,cute,romance
🙀	weary cat	weary,cat,tired,exhausted,feline,pet,fed,up,frustrated,drained
😿	crying cat	crying,cat,sad,tears,feline,pet,upset,hurt,sorrowful,weeping
😾	pouting cat	pouting,cat,angry,mad,feline,pet,upset,grumpy,annoyed,sulking
🙈	see-no-evil monkey	see,no,evil,monkey,covering,eyes,ignore,avoid,embarrassed,ashamed
🙉	hear-no-evil monkey	hear,no,evil,monkey,covering,ears,ignore,avoid,deaf,silence
🙊	speak-no-evil monkey	speak,no,evil,monkey,covering,mouth,quiet,silence,secret,shh
💌	love letter	love,letter,romance,message,valentine,heart,affection,relationship,crush,romantic
💘	heart with arrow	heart,arrow,love,cupid,romance,valentine,struck,crush,affection,relationship
💝	heart with ribbon	heart,ribbon,gift,love,valentine,present,romance,affection,special,wrapped
💖	sparkling heart	sparkling,heart,love,shining,glittering,romance,special,magical,beautiful,adorable
💗	growing heart	growing,heart,love,expanding,increasing,stronger,deeper,developing,blossoming,rising
💓	beating heart	beating,heart,love,pulse,alive,throbbing,excited,nervous,rhythm,passion
💞	revolving hearts	revolving,hearts,love,spinning,multiple,romance,affection,relationship,dancing,orbiting
💕	two hearts	two,hearts,love,couple,relationship,romance,together,pair,mutual,affection
💟	heart decoration	heart,decoration,love,ornament,valentine,cute,adorable,romantic,sweet,design
❣️	heart exclamation	heart,exclamation,love,emphasis,strong,feelings,passion,intense,emotional,wow
💔	broken heart	broken,heart,sad,heartbreak,breakup,hurt,pain,loss,grief,devastated
❤️‍🔥	heart on fire	heart,fire,passionate,burning,intense,love,desire,hot,flames,fervent
❤️‍🩹	mending heart	mending,heart,healing,recovery,fixing,bandage,repair,getting,better,hope
❤️	red heart	red,heart,love,romance,passion,classic,traditional,affection,relationship,valentine
🩷	pink heart	pink,heart,love,cute,sweet,gentle,soft,feminine,adorable,tender
🧡	orange heart	orange,heart,love,warm,friendship,caring,enthusiastic,energetic,vibrant,cheerful
💛	yellow heart	yellow,heart,friendship,happiness,joy,cheerful,sunny,bright,positive,platonic
💚	green heart	green,heart,nature,growth,harmony,peace,healing,jealousy,envy,fresh
💙	blue heart	blue,heart,trust,loyalty,peace,calm,stable,deep,ocean,sky
🩵	light blue heart	light,blue,heart,peaceful,gentle,calm,serene,soft,tranquil,baby
💜	purple heart	purple,heart,love,luxury,royalty,magic,mystery,spiritual,noble,unique
🤎	brown heart	brown,heart,earth,natural,stable,grounded,warm,cozy,chocolate,autumn
🖤	black heart	black,heart,dark,gothic,evil,mysterious,sorrow,grief,death,sadness
🩶	grey heart	grey,heart,neutral,uncertain,depression,sad,dull,boring,lifeless,empty
🤍	white heart	white,heart,pure,innocent,clean,peace,spiritual,angelic,holy,pristine
💋	kiss mark	kiss,mark,lipstick,lips,romance,love,smooch,affection,valentine,makeup
💯	hundred points	hundred,points,perfect,excellent,awesome,great,full,marks,complete,achievement
💢	anger symbol	anger,symbol,mad,furious,rage,comic,anime,manga,explosion,frustrated
💥	collision	collision,crash,bang,impact,explosion,pow,comic,hit,smash,boom
💫	dizzy	dizzy,stars,confused,spinning,disoriented,woozy,lightheaded,stunned,dazed,swirling
💦	sweat droplets	sweat,droplets,nervous,working,hard,hot,water,perspiration,effort,anxiety
💨	dashing away	dashing,away,puff,smoke,speed,fast,whoosh
🕳️	hole	hole,cavity,empty,space,gap,pit
💬	speech balloon	speech,balloon,bubble,talk,chat,dialogue,conversation
👁️‍🗨️	eye in speech bubble	eye,speech,bubble,witness,look,see,spy,gossip
🗨️	left speech bubble	left,speech,bubble,dialogue,talk,chat
🗯️	right anger bubble	right,anger,bubble,rant,mad,frustration,exasperation
💭	thought balloon	thought,balloon,thinking,idea,imagine,ponder,dream
💤	ZZZ	sleeping,snoring,sleep,zzz,tired,asleep
👋	waving hand	wave,hello,goodbye,bye,hand,greeting,farewell								👋🏻	👋🏼	👋🏽	👋🏾	👋🏿
🤚	raised back of hand	raised,back,hand,stop,high five,hello,rejection								🤚🏻	🤚🏼	🤚🏽	🤚🏾	🤚🏿
🖐️	hand with fingers splayed	hand,fingers,splayed,open,stop,five								🖐🏻	🖐🏼	🖐🏽	🖐🏾	🖐🏿
✋	raised hand	raised,hand,stop,high five,hello,rejection,authority								✋🏻	✋🏼	✋🏽	✋🏾	✋🏿
🖖	vulcan salute	vulcan,salute,star trek,live long and prosper,spock								🖖🏻	🖖🏼	🖖🏽	🖖🏾	🖖🏿
🫱	rightwards hand	rightwards,hand,direction,point,give,receive								🫱🏻	🫱🏼	🫱🏽	🫱🏾	🫱🏿
🫲	leftwards hand	leftwards,hand,direction,point,give,receive								🫲🏻	🫲🏼	🫲🏽	🫲🏾	🫲🏿
🫳	palm down hand	palm,down,hand,offer,receive,push,guide								🫳🏻	🫳🏼	🫳🏽	🫳🏾	🫳🏿
🫴	palm up hand	palm,up,hand,offer,receive,beg,give								🫴🏻	🫴🏼	🫴🏽	🫴🏾	🫴🏿
🫷	leftwards pushing hand	leftwards,pushing,hand,stop,move,shove,reject								🫷🏻	🫷🏼	🫷🏽	🫷🏾	🫷🏿
🫸	rightwards pushing hand	rightwards,pushing,hand,stop,move,shove,reject								🫸🏻	🫸🏼	🫸🏽	🫸🏾	🫸🏿
👌	OK hand	ok,hand,okay,approve,good,perfect,alright								👌🏻	👌🏼	👌🏽	👌🏾	👌🏿
🤌	pinched fingers	pinched,fingers,italy,italian,what do you want,disbelief								🤌🏻	🤌🏼	🤌🏽	🤌🏾	🤌🏿
🤏	pinching hand	pinching,hand,small,tiny,little,measure								🤏🏻	🤏🏼	🤏🏽	🤏🏾	🤏🏿
✌️	victory hand	victory,hand,peace,v sign,win								✌🏻	✌🏼	✌🏽	✌🏾	✌🏿
🤞	crossed fingers	crossed,fingers,luck,hope,wish,superstition								🤞🏻	🤞🏼	🤞🏽	🤞🏾	🤞🏿
🫰	hand with index finger and thumb crossed	hand,index finger,thumb,crossed,money,love,expensive,cute								🫰🏻	🫰🏼	🫰🏽	🫰🏾	🫰🏿
🤟	love-you gesture	love-you,gesture,hand,sign language,i love you								🤟🏻	🤟🏼	🤟🏽	🤟🏾	🤟🏿
🤘	sign of the horns	sign,horns,rock and roll,devil,metal,rock on								🤘🏻	🤘🏼	🤘🏽	🤘🏾	🤘🏿
🤙	call me hand	call me,hand,phone,contact,hello,talk								🤙🏻	🤙🏼	🤙🏽	🤙🏾	🤙🏿
👈	backhand index pointing left	backhand,index,pointing,left,direction,point,this way								👈🏻	👈🏼	👈🏽	👈🏾	👈🏿
👉	backhand index pointing right	backhand,index,pointing,right,direction,point,that way								👉🏻	👉🏼	👉🏽	👉🏾	👉🏿
👆	backhand index pointing up	backhand,index,pointing,up,direction,point,above								👆🏻	👆🏼	👆🏽	👆🏾	👆🏿
🖕	middle finger	middle finger,fuck you,insult,rude,disrespect								🖕🏻	🖕🏼	🖕🏽	🖕🏾	🖕🏿
👇	backhand index pointing down	backhand,index,pointing,down,direction,point,below								👇🏻	👇🏼	👇🏽	👇🏾	👇🏿
☝️	index pointing up	index,pointing,up,direction,point,one,warning								☝🏻	☝🏼	☝🏽	☝🏾	☝🏿
🫵	index pointing at the viewer	index,pointing,viewer,you,accusation,blame,question								🫵🏻	🫵🏼	🫵🏽	🫵🏾	🫵🏿
👍	thumbs up	thumbs up,like,agree,good,approve,ok								👍🏻	👍🏼	👍🏽	👍🏾	👍🏿
👎	thumbs down	thumbs down,dislike,disagree,bad,disapprove,no								👎🏻	👎🏼	👎🏽	👎🏾	👎🏿
✊	raised fist	raised,fist,power,protest,strength,solidarity								✊🏻	✊🏼	✊🏽	✊🏾	✊🏿
👊	oncoming fist	oncoming,fist,punch,fight,anger,confrontation								👊🏻	👊🏼	👊🏽	👊🏾	👊🏿
🤛	left-facing fist	left-facing,fist,punch,fight,anger,confrontation								🤛🏻	🤛🏼	🤛🏽	🤛🏾	🤛🏿
🤜	right-facing fist	right-facing,fist,punch,fight,anger,confrontation								🤜🏻	🤜🏼	🤜🏽	🤜🏾	🤜🏿
👏	clapping hands	clapping,hands,applause,bravo,congratulations,celebrate								👏🏻	👏🏼	👏🏽	👏🏾	👏🏿
🙌	raising hands	raising,hands,celebration,hooray,praise,worship,joy								🙌🏻	🙌🏼	🙌🏽	🙌🏾	🙌🏿
🫶	heart hands	heart,hands,love,affection,care,kindness								🫶🏻	🫶🏼	🫶🏽	🫶🏾	🫶🏿
👐	open hands	open,hands,welcome,offer,care,embrace								👐🏻	👐🏼	👐🏽	👐🏾	👐🏿
🤲	palms up together	palms,up,together,prayer,begging,receiving,offering								🤲🏻	🤲🏼	🤲🏽	🤲🏾	🤲🏿
🤝	handshake	handshake,deal,agreement,greeting,cooperation,partnership								🤝🏻, 🫱🏻‍🫲🏼, 🫱🏻‍🫲🏽, 🫱🏻‍🫲🏾, 🫱🏻‍🫲🏿, 🫱🏼‍🫲🏻, 🫱🏽‍🫲🏻, 🫱🏾‍🫲🏻, 🫱🏿‍🫲🏻	🤝🏼, 🫱🏻‍🫲🏼, 🫱🏼‍🫲🏻, 🫱🏼‍🫲🏽, 🫱🏼‍🫲🏾, 🫱🏼‍🫲🏿, 🫱🏽‍🫲🏼, 🫱🏾‍🫲🏼, 🫱🏿‍🫲🏼	🤝🏽, 🫱🏻‍🫲🏽, 🫱🏼‍🫲🏽, 🫱🏽‍🫲🏻, 🫱🏽‍🫲🏼, 🫱🏽‍🫲🏾, 🫱🏽‍🫲🏿, 🫱🏾‍🫲🏽, 🫱🏿‍🫲🏽	🤝🏾, 🫱🏻‍🫲🏾, 🫱🏼‍🫲🏾, 🫱🏽‍🫲🏾, 🫱🏾‍🫲🏻, 🫱🏾‍🫲🏼, 🫱🏾‍🫲🏽, 🫱🏾‍🫲🏿, 🫱🏿‍🫲🏾	🤝🏿, 🫱🏻‍🫲🏿, 🫱🏼‍🫲🏿, 🫱🏽‍🫲🏿, 🫱🏾‍🫲🏿, 🫱🏿‍🫲🏻, 🫱🏿‍🫲🏼, 🫱🏿‍🫲🏽, 🫱🏿‍🫲🏾
🙏	folded hands	folded,hands,prayer,thank you,please,namaste,beg								🙏🏻	🙏🏼	🙏🏽	🙏🏾	🙏🏿
✍️	writing hand	writing,hand,write,signature,note,create,draw								✍🏻	✍🏼	✍🏽	✍🏾	✍🏿
💅	nail polish	nail polish,nails,manicure,beauty,glamour,fashion								💅🏻	💅🏼	💅🏽	💅🏾	💅🏿
🤳	selfie	selfie,camera,phone,picture,photo,self-portrait								🤳🏻	🤳🏼	🤳🏽	🤳🏾	🤳🏿
💪	flexed biceps	flexed,biceps,muscle,strong,power,strength,arm								💪🏻	💪🏼	💪🏽	💪🏾	💪🏿
🦾	mechanical arm	mechanical,arm,robot,cyborg,prosthetic,technology
🦿	mechanical leg	mechanical,leg,robot,cyborg,prosthetic,technology
🦵	leg	leg,body part,walk,run,kick,stand								🦵🏻	🦵🏼	🦵🏽	🦵🏾	🦵🏿
🦶	foot	foot,body part,walk,run,stand,kick								🦶🏻	🦶🏼	🦶🏽	🦶🏾	🦶🏿
👂	ear	ear,body part,hear,listen,sound								👂🏻	👂🏼	👂🏽	👂🏾	👂🏿
🦻	ear with hearing aid	ear,hearing aid,listen,sound,hard of hearing,accessibility								🦻🏻	🦻🏼	🦻🏽	🦻🏾	🦻🏿
👃	nose	nose,body part,smell,breathe,scent								👃🏻	👃🏼	👃🏽	👃🏾	👃🏿
🧠	brain	brain,mind,intelligence,thought,smart,idea
🫀	anatomical heart	anatomical,heart,love,emotion,organ,body,life
🫁	lungs	lungs,breathe,respiration,organ,body
🦷	tooth	tooth,teeth,mouth,bite,eat,smile
🦴	bone	bone,skeleton,body,structure,anatomy
👀	eyes	eyes,look,see,watch,sight,stare,observe
👁️	eye	eye,look,see,watch,sight,observe
👅	tongue	tongue,mouth,taste,lick,speak
👄	mouth	mouth,speak,eat,kiss,talk,lips
🫦	biting lip	biting,lip,nervous,flirty,anxious,seductive,hesitation
👶	baby	baby,infant,child,newborn,small,young								👶🏻	👶🏼	👶🏽	👶🏾	👶🏿
🧒	child	child,kid,young,person,youth								🧒🏻	🧒🏼	🧒🏽	🧒🏾	🧒🏿
👦	boy	boy,male,young,kid,child								👦🏻	👦🏼	👦🏽	👦🏾	👦🏿
👧	girl	girl,female,young,kid,child								👧🏻	👧🏼	👧🏽	👧🏾	👧🏿
🧑	person	person,human,individual,anyone,someone								🧑🏻	🧑🏼	🧑🏽	🧑🏾	🧑🏿
👱	person: blond hair	person,blond,hair,blonde								👱🏻	👱🏼	👱🏽	👱🏾	👱🏿
👨	man	man,male,adult,guy,gentleman								👨🏻	👨🏼	👨🏽	👨🏾	👨🏿
🧔	person: beard	person,beard,facial hair,hairy								🧔🏻	🧔🏼	🧔🏽	🧔🏾	🧔🏿
🧔‍♂️	man: beard	man,beard,facial hair,male								🧔🏻‍♂️	🧔🏼‍♂️	🧔🏽‍♂️	🧔🏾‍♂️	🧔🏿‍♂️
🧔‍♀️	woman: beard	woman,beard,facial hair,female								🧔🏻‍♀️	🧔🏼‍♀️	🧔🏽‍♀️	🧔🏾‍♀️	🧔🏿‍♀️
👨‍🦰	man: red hair	man,red hair,ginger,male								👨🏻‍🦰	👨🏼‍🦰	👨🏽‍🦰	👨🏾‍🦰	👨🏿‍🦰
👨‍🦱	man: curly hair	man,curly hair,curls,male								👨🏻‍🦱	👨🏼‍🦱	👨🏽‍🦱	👨🏾‍🦱	👨🏿‍🦱
👨‍🦳	man: white hair	man,white hair,old,elderly,male,grey hair								👨🏻‍🦳	👨🏼‍🦳	👨🏽‍🦳	👨🏾‍🦳	👨🏿‍🦳
👨‍🦲	man: bald	man,bald,no hair,male								👨🏻‍🦲	👨🏼‍🦲	👨🏽‍🦲	👨🏾‍🦲	👨🏿‍🦲
👩	woman	woman,female,adult,lady								👩🏻	👩🏼	👩🏽	👩🏾	👩🏿
👩‍🦰	woman: red hair	woman,red hair,ginger,female								👩🏻‍🦰	👩🏼‍🦰	👩🏽‍🦰	👩🏾‍🦰	👩🏿‍🦰
🧑‍🦰	person: red hair	person,red hair,ginger								🧑🏻‍🦰	🧑🏼‍🦰	🧑🏽‍🦰	🧑🏾‍🦰	🧑🏿‍🦰
👩‍🦱	woman: curly hair	woman,curly hair,curls,female								👩🏻‍🦱	👩🏼‍🦱	👩🏽‍🦱	👩🏾‍🦱	👩🏿‍🦱
🧑‍🦱	person: curly hair	person,curly hair,curls								🧑🏻‍🦱	🧑🏼‍🦱	🧑🏽‍🦱	🧑🏾‍🦱	🧑🏿‍🦱
👩‍🦳	woman: white hair	woman,white hair,old,elderly,female,grey hair								👩🏻‍🦳	👩🏼‍🦳	👩🏽‍🦳	👩🏾‍🦳	👩🏿‍🦳
🧑‍🦳	person: white hair	person,white hair,old,elderly,grey hair								🧑🏻‍🦳	🧑🏼‍🦳	🧑🏽‍🦳	🧑🏾‍🦳	🧑🏿‍🦳
👩‍🦲	woman: bald	woman,bald,no hair,female								👩🏻‍🦲	👩🏼‍🦲	👩🏽‍🦲	👩🏾‍🦲	👩🏿‍🦲
🧑‍🦲	person: bald	person,bald,no hair								🧑🏻‍🦲	🧑🏼‍🦲	🧑🏽‍🦲	🧑🏾‍🦲	🧑🏿‍🦲
👱‍♀️	woman: blond hair	woman,blond,hair,blonde,female								👱🏻‍♀️	👱🏼‍♀️	👱🏽‍♀️	👱🏾‍♀️	👱🏿‍♀️
👱‍♂️	man: blond hair	man,blond,hair,blonde,male								👱🏻‍♂️	👱🏼‍♂️	👱🏽‍♂️	👱🏾‍♂️	👱🏿‍♂️
🧓	older person	older person,elderly,senior,old,age								🧓🏻	🧓🏼	🧓🏽	🧓🏾	🧓🏿
👴	old man	old man,elderly,senior,male								👴🏻	👴🏼	👴🏽	👴🏾	👴🏿
👵	old woman	old woman,elderly,senior,female								👵🏻	👵🏼	👵🏽	👵🏾	👵🏿
🙍	person frowning	person,frowning,sad,unhappy,disappointed,worried								🙍🏻	🙍🏼	🙍🏽	🙍🏾	🙍🏿
