😶	Smileys & Emotion	face-neutral-skeptical	face without mouth	without,mouth,speechless,silent,quiet,no,words,stunned,shocked,mute	
🫥	Smileys & Emotion	face-neutral-skeptical	dotted line face	dotted,line,invisible,disappearing,fading,transparent,outline,ghost,vanishing,empty	
😶‍🌫️	Smileys & Emotion	face-neutral-skeptical	face in clouds	clouds,foggy,confused,lost,dizzy,hazy,unclear,bewildered,spacey,dreamy	
😏	Smileys & Emotion	face-neutral-skeptical	smirking face	smirking,smug,sly,mischievous,sneaky,confident,cocky,knowing,satisfied,devious	
😒	Smileys & Emotion	face-neutral-skeptical	unamused face	unamused,annoyed,unimpressed,bored,irritated,dissatisfied,meh,whatever,deadpan,flat	
🙄	Smileys & Emotion	face-neutral-skeptical	face with rolling eyes	rolling,eyes,annoyed,frustrated,exasperated,whatever,seriously,irritated,sarcastic,fed	
😬	Smileys & Emotion	face-neutral-skeptical	grimacing face	grimacing,awkward,uncomfortable,cringe,embarrassed,nervous,oops,yikes,sheepish,painful	
😮‍💨	Smileys & Emotion	face-neutral-skeptical	face exhaling	exhaling,sigh,relief,tired,exhausted,breath,huffing,puffing,frustrated,whew	
🤥	Smileys & Emotion	face-neutral-skeptical	lying face	lying,liar,dishonest,fibbing,deceptive,untruthful,pinocchio,fake,false,deceitful	
🫨	Smileys & Emotion	face-neutral-skeptical	shaking face	shaking,vibrating,trembling,nervous,scared,earthquake,shivering,rattled,unstable,wobbly	
🙂‍↔️	Smileys & Emotion	face-neutral-skeptical	head shaking horizontally	head,shaking,no,denial,disagreement,refusing,rejecting,negative,nope,disapproval	
🙂‍↕️	Smileys & Emotion	face-neutral-skeptical	head shaking vertically	head,shaking,yes,agreement,nodding,approval,accepting,confirming,vertical,affirmative	
😌	Smileys & Emotion	face-sleepy	relieved face	relieved,content,peaceful,calm,satisfied,relaxed,serene,blessed,grateful,phew	
😔	Smileys & Emotion	face-sleepy	pensive face	pensive,thoughtful,sad,melancholy,contemplative,wistful,reflective,troubled,worried,dejected	
😪	Smileys & Emotion	face-sleepy	sleepy face	sleepy,tired,drowsy,exhausted,sleepy,yawning,weary,fatigue,bed,rest	
🤤	Smileys & Emotion	face-sleepy	drooling face	drooling,hungry,delicious,yummy,craving,desire,want,saliva,tasty,appetite	
😴	Smileys & Emotion	face-sleepy	sleeping face	sleeping,asleep,sleep,tired,rest,zzz,snoozing,dozing,unconscious,slumber	
🫩	Smileys & Emotion	face-sleepy	face with bags under eyes	bags,eyes,tired,exhausted,sleepless,weary,insomnia,overworked,stressed,fatigued	
😷	Smileys & Emotion	face-unwell	face with medical mask	mask,medical,sick,illness,covid,protection,doctor,hospital,health,safety	
🤒	Smileys & Emotion	face-unwell	face with thermometer	thermometer,sick,fever,ill,temperature,unwell,flu,cold,medicine,hospital	
🤕	Smileys & Emotion	face-unwell	face with head-bandage	bandage,injured,hurt,accident,hospital,wound,pain,clumsy,ouch,medical	
🤢	Smileys & Emotion	face-unwell	nauseated face	nauseated,sick,queasy,nauseous,disgusted,gross,yuck,ill,vomit,green	
🤮	Smileys & Emotion	face-unwell	face vomiting	vomiting,sick,puke,throw,up,nauseous,ill,gross,disgusted,unwell	
🤧	Smileys & Emotion	face-unwell	sneezing face	sneezing,achoo,cold,allergies,sick,flu,tissue,bless,you,gesundheit	
🥵	Smileys & Emotion	face-unwell	hot face	hot,heat,sweating,summer,warm,burning,fever,fire,temperature,scorching	
🥶	Smileys & Emotion	face-unwell	cold face	cold,freezing,winter,chilly,frozen,ice,shivering,blue,arctic,frigid	
🥴	Smileys & Emotion	face-unwell	woozy face	woozy,dizzy,drunk,tipsy,confused,disoriented,spinning,intoxicated,lightheaded,unsteady	
😵	Smileys & Emotion	face-unwell	face with crossed-out eyes	crossed,out,eyes,dead,knocked,unconscious,dizzy,stunned,defeated,exhausted	
😵‍💫	Smileys & Emotion	face-unwell	face with spiral eyes	spiral,eyes,dizzy,hypnotized,confused,disoriented,spinning,mesmerized,dazed,swirling	
🤯	Smileys & Emotion	face-unwell	exploding head	exploding,head,mind,blown,shocked,amazed,surprised,wow,incredible,unbelievable	
🤠	Smileys & Emotion	face-hat	cowboy hat face	cowboy,hat,western,country,ranch,rodeo,texas,yeehaw,frontier,wild	
🥳	Smileys & Emotion	face-hat	partying face	partying,party,celebration,fun,festive,birthday,dancing,happy,excited,confetti	
🥸	Smileys & Emotion	face-hat	disguised face	disguised,disguise,hidden,incognito,secret,spy,undercover,mask,mysterious,sneaky	
😎	Smileys & Emotion	face-glasses	smiling face with sunglasses	sunglasses,cool,awesome,confident,stylish,shades,smooth,relaxed,chill,swag	
🤓	Smileys & Emotion	face-glasses	nerd face	nerd,geek,smart,intelligent,glasses,studious,academic,brainy,bookworm,clever	
🧐	Smileys & Emotion	face-glasses	face with monocle	monocle,fancy,sophisticated,classy,distinguished,gentleman,posh,elegant,curious,examining	
😕	Smileys & Emotion	face-concerned	confused face	confused,puzzled,uncertain,perplexed,bewildered,lost,questioning,unsure,baffled,huh	
🫤	Smileys & Emotion	face-concerned	face with diagonal mouth	diagonal,mouth,unsure,uncertain,meh,confused,mixed,feelings,ambivalent,hesitant	
😟	Smileys & Emotion	face-concerned	worried face	worried,anxious,concerned,nervous,troubled,fearful,apprehensive,distressed,uneasy,stress	
🙁	Smileys & Emotion	face-concerned	slightly frowning face	slightly,frowning,disappointed,sad,unhappy,down,upset,dissatisfied,displeased,dejected	
☹️	Smileys & Emotion	face-concerned	frowning face	frowning,sad,unhappy,disappointed,upset,down,dejected,gloomy,sorrowful,melancholy	
😮	Smileys & Emotion	face-concerned	face with open mouth	open,mouth,surprised,shocked,amazed,wow,astonished,gasping,stunned,incredulous	
😯	Smileys & Emotion	face-concerned	hushed face	hushed,quiet,whisper,secret,shh,silent,subdued,soft,gentle,peaceful	
😲	Smileys & Emotion	face-concerned	astonished face	astonished,amazed,shocked,surprised,stunned,flabbergasted,blown,away,incredible,wow	
😳	Smileys & Emotion	face-concerned	flushed face	flushed,embarrassed,blushing,shy,awkward,nervous,red,face,bashful,ashamed	
🥺	Smileys & Emotion	face-concerned	pleading face	pleading,begging,puppy,eyes,please,desperate,imploring,asking,mercy,cute	
🥹	Smileys & Emotion	face-concerned	face holding back tears	holding,back,tears,emotional,trying,not,cry,touched,moved,sad	
😦	Smileys & Emotion	face-concerned	frowning face with open mouth	frowning,open,mouth,disappointed,upset,shocked,dismayed,disbelief,troubled,distressed	
😧	Smileys & Emotion	face-concerned	anguished face	anguished,distressed,tormented,suffering,agony,pain,anguish,troubled,devastated,grief	
😨	Smileys & Emotion	face-concerned	fearful face	fearful,scared,afraid,frightened,terrified,anxious,worried,nervous,panicked,alarmed	
😰	Smileys & Emotion	face-concerned	anxious face with sweat	anxious,sweat,nervous,worried,stressed,panicked,overwhelmed,pressure,tense,uneasy	
😥	Smileys & Emotion	face-concerned	sad but relieved face	sad,relieved,mixed,emotions,bittersweet,conflicted,exhausted,phew,grateful,complicated	
😢	Smileys & Emotion	face-concerned	crying face	crying,tears,sad,upset,hurt,emotional,weeping,sobbing,sorrowful,grief	
😭	Smileys & Emotion	face-concerned	loudly crying face	loudly,crying,sobbing,wailing,devastated,heartbroken,inconsolable,bawling,tears,grief	
😱	Smileys & Emotion	face-concerned	face screaming in fear	screaming,fear,terrified,horror,panic,scared,frightened,nightmare,shocking,alarmed	
😖	Smileys & Emotion	face-concerned	confounded face	confounded,frustrated,annoyed,confused,perplexed,bothered,irritated,vexed,troubled,exasperated	
😣	Smileys & Emotion	face-concerned	persevering face	persevering,determined,struggling,enduring,persisting,tough,difficult,challenging,pushing,through	
😞	Smileys & Emotion	face-concerned	disappointed face	disappointed,let,down,sad,upset,dejected,disheartened,discouraged,unsatisfied,dismayed	
😓	Smileys & Emotion	face-concerned	downcast face with sweat	downcast,sweat,disappointed,dejected,ashamed,embarrassed,sorry,regretful,guilty,remorseful	
😩	Smileys & Emotion	face-concerned	weary face	weary,tired,exhausted,fed,up,frustrated,drained,worn,out,stressed,overwhelmed	
😫	Smileys & Emotion	face-concerned	tired face	tired,exhausted,weary,drained,sleepy,fatigued,worn,out,spent,beat	
🥱	Smileys & Emotion	face-concerned	yawning face	yawning,sleepy,tired,bored,exhausted,drowsy,yawn,mouth,open,fatigue	
😤	Smileys & Emotion	face-negative	face with steam from nose	steam,nose,angry,frustrated,mad,annoyed,huffing,puffing,irritated,fuming	
😡	Smileys & Emotion	face-negative	enraged face	enraged,furious,angry,mad,livid,irate,outraged,incensed,seething,raging	
😠	Smileys & Emotion	face-negative	angry face	angry,mad,upset,annoyed,frustrated,irritated,grumpy,cross,displeased,pissed	
🤬	Smileys & Emotion	face-negative	face with symbols on mouth	symbols,mouth,swearing,cursing,profanity,angry,mad,expletives,censored,furious	
😈	Smileys & Emotion	face-negative	smiling face with horns	horns,devil,evil,mischievous,naughty,devilish,wicked,imp,demon,playful	
👿	Smileys & Emotion	face-negative	angry face with horns	angry,horns,devil,evil,demon,mad,furious,wicked,satanic,menacing	
💀	Smileys & Emotion	face-negative	skull	skull,death,dead,bones,spooky,scary,halloween,mortality,pirate,danger	
☠️	Smileys & Emotion	face-negative	skull and crossbones	skull,crossbones,death,danger,poison,toxic,pirate,warning,deadly,hazard	
💩	Smileys & Emotion	face-costume	pile of poo	poo,poop,shit,crap,excrement,waste,toilet,bathroom,funny,gross	
🤡	Smileys & Emotion	face-costume	clown face	clown,funny,circus,entertaining,colorful,makeup,performer,comedian,joke,silly	
👹	Smileys & Emotion	face-costume	ogre	ogre,monster,creature,scary,mythical,beast,folklore,giant,frightening,fantasy	
👺	Smileys & Emotion	face-costume	goblin	goblin,monster,creature,scary,mythical,evil,fantasy,folklore,imp,demon	
👻	Smileys & Emotion	face-costume	ghost	ghost,spirit,spooky,supernatural,phantom,haunted,halloween,dead,apparition,boo	
👽	Smileys & Emotion	face-costume	alien	alien,extraterrestrial,ufo,space,martian,et,outer,world,sci,fi	
👾	Smileys & Emotion	face-costume	alien monster	alien,monster,creature,space,invader,video,game,retro,arcade,pixelated	
🤖	Smileys & Emotion	face-costume	robot	robot,android,machine,artificial,intelligence,technology,ai,mechanical,futuristic,automation	
😺	Smileys & Emotion	cat-face	grinning cat	grinning,cat,happy,feline,pet,smile,cheerful,cute,kitty,pleased	
😸	Smileys & Emotion	cat-face	grinning cat with smiling eyes	grinning,cat,smiling,eyes,happy,feline,pet,cheerful,cute,joyful	
😹	Smileys & Emotion	cat-face	cat with tears of joy	cat,tears,joy,laughing,happy,feline,pet,funny,amused,delighted	
😻	Smileys & Emotion	cat-face	smiling cat with heart-eyes	smiling,cat,heart,eyes,love,feline,pet,adore,cute,affection	
😼	Smileys & Emotion	cat-face	cat with wry smile	cat,wry,smile,smirk,sly,feline,pet,mischievous,clever,cunning	
😽	Smileys & Emotion	cat-face	kissing cat	kissing,cat,love,feline,pet,affection,kiss,sweet,cute,romance	
🙀	Smileys & Emotion	cat-face	weary cat	weary,cat,tired,exhausted,feline,pet,fed,up,frustrated,drained	
😿	Smileys & Emotion	cat-face	crying cat	crying,cat,sad,tears,feline,pet,upset,hurt,sorrowful,weeping	
😾	Smileys & Emotion	cat-face	pouting cat	pouting,cat,angry,mad,feline,pet,upset,grumpy,annoyed,sulking	
🙈	Smileys & Emotion	monkey-face	see-no-evil monkey	see,no,evil,monkey,covering,eyes,ignore,avoid,embarrassed,ashamed	
🙉	Smileys & Emotion	monkey-face	hear-no-evil monkey	hear,no,evil,monkey,covering,ears,ignore,avoid,deaf,silence	
🙊	Smileys & Emotion	monkey-face	speak-no-evil monkey	speak,no,evil,monkey,covering,mouth,quiet,silence,secret,shh	
💌	Smileys & Emotion	heart	love letter	love,letter,romance,message,valentine,heart,affection,relationship,crush,romantic	
💘	Smileys & Emotion	heart	heart with arrow	heart,arrow,love,cupid,romance,valentine,struck,crush,affection,relationship	
💝	Smileys & Emotion	heart	heart with ribbon	heart,ribbon,gift,love,valentine,present,romance,affection,special,wrapped	
💖	Smileys & Emotion	heart	sparkling heart	sparkling,heart,love,shining,glittering,romance,special,magical,beautiful,adorable	
💗	Smileys & Emotion	heart	growing heart	growing,heart,love,expanding,increasing,stronger,deeper,developing,blossoming,rising	
💓	Smileys & Emotion	heart	beating heart	beating,heart,love,pulse,alive,throbbing,excited,nervous,rhythm,passion	
💞	Smileys & Emotion	heart	revolving hearts	revolving,hearts,love,spinning,multiple,romance,affection,relationship,dancing,orbiting	
💕	Smileys & Emotion	heart	two hearts	two,hearts,love,couple,relationship,romance,together,pair,mutual,affection	
💟	Smileys & Emotion	heart	heart decoration	heart,decoration,love,ornament,valentine,cute,adorable,romantic,sweet,design	
❣️	Smileys & Emotion	heart	heart exclamation	heart,exclamation,love,emphasis,strong,feelings,passion,intense,emotional,wow	
💔	Smileys & Emotion	heart	broken heart	broken,heart,sad,heartbreak,breakup,hurt,pain,loss,grief,devastated	
❤️‍🔥	Smileys & Emotion	heart	heart on fire	heart,fire,passionate,burning,intense,love,desire,hot,flames,fervent	
❤️‍🩹	Smileys & Emotion	heart	mending heart	mending,heart,healing,recovery,fixing,bandage,repair,getting,better,hope	
❤️	Smileys & Emotion	heart	red heart	red,heart,love,romance,passion,classic,traditional,affection,relationship,valentine	
🩷	Smileys & Emotion	heart	pink heart	pink,heart,love,cute,sweet,gentle,soft,feminine,adorable,tender	
🧡	Smileys & Emotion	heart	orange heart	orange,heart,love,warm,friendship,caring,enthusiastic,energetic,vibrant,cheerful	
💛	Smileys & Emotion	heart	yellow heart	yellow,heart,friendship,happiness,joy,cheerful,sunny,bright,positive,platonic	
💚	Smileys & Emotion	heart	green heart	green,heart,nature,growth,harmony,peace,healing,jealousy,envy,fresh	
💙	Smileys & Emotion	heart	blue heart	blue,heart,trust,loyalty,peace,calm,stable,deep,ocean,sky	
🩵	Smileys & Emotion	heart	light blue heart	light,blue,heart,peaceful,gentle,calm,serene,soft,tranquil,baby	
💜	Smileys & Emotion	heart	purple heart	purple,heart,love,luxury,royalty,magic,mystery,spiritual,noble,unique	
🤎	Smileys & Emotion	heart	brown heart	brown,heart,earth,natural,stable,grounded,warm,cozy,chocolate,autumn	
🖤	Smileys & Emotion	heart	black heart	black,heart,dark,gothic,evil,mysterious,sorrow,grief,death,sadness	
🩶	Smileys & Emotion	heart	grey heart	grey,heart,neutral,uncertain,depression,sad,dull,boring,lifeless,empty	
🤍	Smileys & Emotion	heart	white heart	white,heart,pure,innocent,clean,peace,spiritual,angelic,holy,pristine	
💋	Smileys & Emotion	emotion	kiss mark	kiss,mark,lipstick,lips,romance,love,smooch,affection,valentine,makeup	
💯	Smileys & Emotion	emotion	hundred points	hundred,points,perfect,excellent,awesome,great,full,marks,complete,achievement	
💢	Smileys & Emotion	emotion	anger symbol	anger,symbol,mad,furious,rage,comic,anime,manga,explosion,frustrated	
💥	Smileys & Emotion	emotion	collision	collision,crash,bang,impact,explosion,pow,comic,hit,smash,boom	
💫	Smileys & Emotion	emotion	dizzy	dizzy,stars,confused,spinning,disoriented,woozy,lightheaded,stunned,dazed,swirling	
💦	Smileys & Emotion	emotion	sweat droplets	sweat,droplets,nervous,working,hard,hot,water,perspiration,effort,anxiety	
💨	Smileys & Emotion	emotion	dashing away	dashing,away,puff,smoke,speed,fast,whoosh	
🕳️	Smileys & Emotion	emotion	hole	hole,cavity,empty,space,gap,pit	
💬	Smileys & Emotion	emotion	speech balloon	speech,balloon,bubble,talk,chat,dialogue,conversation	
👁️‍🗨️	Smileys & Emotion	emotion	eye in speech bubble	eye,speech,bubble,witness,look,see,spy,gossip	
🗨️	Smileys & Emotion	emotion	left speech bubble	left,speech,bubble,dialogue,talk,chat	
🗯️	Smileys & Emotion	emotion	right anger bubble	right,anger,bubble,rant,mad,frustration,exasperation	
💭	Smileys & Emotion	emotion	thought balloon	thought,balloon,thinking,idea,imagine,ponder,dream	
💤	Smileys & Emotion	emotion	ZZZ	sleeping,snoring,sleep,zzz,tired,asleep	
👋	People & Body	hand-fingers-open	waving hand	wave,hello,goodbye,bye,hand,greeting,farewell	👋🏻	👋🏼	👋🏽	👋🏾	👋🏿	
🤚	People & Body	hand-fingers-open	raised back of hand	raised,back,hand,stop,high five,hello,rejection	🤚🏻	🤚🏼	🤚🏽	🤚🏾	🤚🏿	
🖐️	People & Body	hand-fingers-open	hand with fingers splayed	hand,fingers,splayed,open,stop,five	🖐🏻	🖐🏼	🖐🏽	🖐🏾	🖐🏿	
✋	People & Body	hand-fingers-open	raised hand	raised,hand,stop,high five,hello,rejection,authority	✋🏻	✋🏼	✋🏽	✋🏾	✋🏿	
🖖	People & Body	hand-fingers-open	vulcan salute	vulcan,salute,star trek,live long and prosper,spock	🖖🏻	🖖🏼	🖖🏽	🖖🏾	🖖🏿	
🫱	People & Body	hand-fingers-open	rightwards hand	rightwards,hand,direction,point,give,receive	🫱🏻	🫱🏼	🫱🏽	🫱🏾	🫱🏿	
🫲	People & Body	hand-fingers-open	leftwards hand	leftwards,hand,direction,point,give,receive	🫲🏻	🫲🏼	🫲🏽	🫲🏾	🫲🏿	
🫳	People & Body	hand-fingers-open	palm down hand	palm,down,hand,offer,receive,push,guide	🫳🏻	🫳🏼	🫳🏽	🫳🏾	🫳🏿	
🫴	People & Body	hand-fingers-open	palm up hand	palm,up,hand,offer,receive,beg,give	🫴🏻	🫴🏼	🫴🏽	🫴🏾	🫴🏿	
🫷	People & Body	hand-fingers-open	leftwards pushing hand	leftwards,pushing,hand,stop,move,shove,reject	🫷🏻	🫷🏼	🫷🏽	🫷🏾	🫷🏿	
🫸	People & Body	hand-fingers-open	rightwards pushing hand	rightwards,pushing,hand,stop,move,shove,reject	🫸🏻	🫸🏼	🫸🏽	🫸🏾	🫸🏿	
👌	People & Body	hand-fingers-partial	OK hand	ok,hand,okay,approve,good,perfect,alright	👌🏻	👌🏼	👌🏽	👌🏾	👌🏿	
🤌	People & Body	hand-fingers-partial	pinched fingers	pinched,fingers,italy,italian,what do you want,disbelief	🤌🏻	🤌🏼	🤌🏽	🤌🏾	🤌🏿	
🤏	People & Body	hand-fingers-partial	pinching hand	pinching,hand,small,tiny,little,measure	🤏🏻	🤏🏼	🤏🏽	🤏🏾	🤏🏿	
✌️	People & Body	hand-fingers-partial	victory hand	victory,hand,peace,v sign,win	✌🏻	✌🏼	✌🏽	✌🏾	✌🏿	
🤞	People & Body	hand-fingers-partial	crossed fingers	crossed,fingers,luck,hope,wish,superstition	🤞🏻	🤞🏼	🤞🏽	🤞🏾	🤞🏿	
🫰	People & Body	hand-fingers-partial	hand with index finger and thumb crossed	hand,index finger,thumb,crossed,money,love,expensive,cute	🫰🏻	🫰🏼	🫰🏽	🫰🏾	🫰🏿	
🤟	People & Body	hand-fingers-partial	love-you gesture	love-you,gesture,hand,sign language,i love you	🤟🏻	🤟🏼	🤟🏽	🤟🏾	🤟🏿	
🤘	People & Body	hand-fingers-partial	sign of the horns	sign,horns,rock and roll,devil,metal,rock on	🤘🏻	🤘🏼	🤘🏽	🤘🏾	🤘🏿	
🤙	People & Body	hand-fingers-partial	call me hand	call me,hand,phone,contact,hello,talk	🤙🏻	🤙🏼	🤙🏽	🤙🏾	🤙🏿	
👈	People & Body	hand-single-finger	backhand index pointing left	backhand,index,pointing,left,direction,point,this way	👈🏻	👈🏼	👈🏽	👈🏾	👈🏿	
👉	People & Body	hand-single-finger	backhand index pointing right	backhand,index,pointing,right,direction,point,that way	👉🏻	👉🏼	👉🏽	👉🏾	👉🏿	
👆	People & Body	hand-single-finger	backhand index pointing up	backhand,index,pointing,up,direction,point,above	👆🏻	👆🏼	👆🏽	👆🏾	👆🏿	
🖕	People & Body	hand-single-finger	middle finger	middle finger,fuck you,insult,rude,disrespect	🖕🏻	🖕🏼	🖕🏽	🖕🏾	🖕🏿	
👇	People & Body	hand-single-finger	backhand index pointing down	backhand,index,pointing,down,direction,point,below	👇🏻	👇🏼	👇🏽	👇🏾	👇🏿	
☝️	People & Body	hand-single-finger	index pointing up	index,pointing,up,direction,point,one,warning	☝🏻	☝🏼	☝🏽	☝🏾	☝🏿	
🫵	People & Body	hand-single-finger	index pointing at the viewer	index,pointing,viewer,you,accusation,blame,question	🫵🏻	🫵🏼	🫵🏽	🫵🏾	🫵🏿	
👍	People & Body	hand-fingers-closed	thumbs up	thumbs up,like,agree,good,approve,ok	👍🏻	👍🏼	👍🏽	👍🏾	👍🏿	
👎	People & Body	hand-fingers-closed	thumbs down	thumbs down,dislike,disagree,bad,disapprove,no	👎🏻	👎🏼	👎🏽	👎🏾	👎🏿	
✊	People & Body	hand-fingers-closed	raised fist	raised,fist,power,protest,strength,solidarity	✊🏻	✊🏼	✊🏽	✊🏾	✊🏿	
👊	People & Body	hand-fingers-closed	oncoming fist	oncoming,fist,punch,fight,anger,confrontation	👊🏻	👊🏼	👊🏽	👊🏾	👊🏿	
🤛	People & Body	hand-fingers-closed	left-facing fist	left-facing,fist,punch,fight,anger,confrontation	🤛🏻	🤛🏼	🤛🏽	🤛🏾	🤛🏿	
🤜	People & Body	hand-fingers-closed	right-facing fist	right-facing,fist,punch,fight,anger,confrontation	🤜🏻	🤜🏼	🤜🏽	🤜🏾	🤜🏿	
👏	People & Body	hands	clapping hands	clapping,hands,applause,bravo,congratulations,celebrate	👏🏻	👏🏼	👏🏽	👏🏾	👏🏿	
🙌	People & Body	hands	raising hands	raising,hands,celebration,hooray,praise,worship,joy	🙌🏻	🙌🏼	🙌🏽	🙌🏾	🙌🏿	
🫶	People & Body	hands	heart hands	heart,hands,love,affection,care,kindness	🫶🏻	🫶🏼	🫶🏽	🫶🏾	🫶🏿	
👐	People & Body	hands	open hands	open,hands,welcome,offer,care,embrace	👐🏻	👐🏼	👐🏽	👐🏾	👐🏿	
🤲	People & Body	hands	palms up together	palms,up,together,prayer,begging,receiving,offering	🤲🏻	🤲🏼	🤲🏽	🤲🏾	🤲🏿	
